Date,Weekday,Holiday
1945-08-15,Wednesday,VictoryOverJapanDay
1945-08-16,Thursday,VictoryOverJapanDay
1945-09-03,Monday,Labor Day
1945-10-12,Friday,ColumbusDay
1945-11-06,Tuesday,ElectionDay
1945-11-12,Monday,VeteransDay (observed)
1945-11-22,Thursday,Thanks giving
1945-12-24,Monday,ChristmasEve
1945-12-25,Tuesday,Christmas
1946-01-01,Tuesday,New Years Day
1946-02-12,Tuesday,LincolnsBirthday
1946-02-22,Friday,Washingtons Birthday
1946-04-19,Friday,Good Friday Day
1946-05-30,Thursday,Memorial Day
1946-06-14,Friday,FlagDay
1946-07-04,Thursday,IndependenceDay
1946-09-02,Monday,Labor Day
1946-10-11,Friday,ColumbusDay (observed)
1946-11-05,Tuesday,ElectionDay
1946-11-11,Monday,VeteransDay
1946-11-28,Thursday,Thanks giving
1946-12-25,Wednesday,Christmas
1947-01-01,Wednesday,New Years Day
1947-02-12,Wednesday,LincolnsBirthday
1947-02-21,Friday,Washingtons Birthday (observed)
1947-04-04,Friday,Good Friday Day
1947-05-30,Friday,Memorial Day
1947-06-13,Friday,FlagDay (observed)
1947-07-04,Friday,IndependenceDay
1947-09-01,Monday,Labor Day
1947-10-13,Monday,ColumbusDay (observed)
1947-11-04,Tuesday,ElectionDay
1947-11-11,Tuesday,VeteransDay
1947-11-27,Thursday,Thanks giving
1947-12-25,Thursday,Christmas
1948-01-01,Thursday,New Years Day
1948-02-12,Thursday,LincolnsBirthday
1948-02-23,Monday,Washingtons Birthday (observed)
1948-03-26,Friday,Good Friday Day
1948-05-31,Monday,Memorial Day (observed)
1948-06-14,Monday,FlagDay
1948-07-05,Monday,Independence Day (observed)
1948-09-06,Monday,Labor Day
1948-10-12,Tuesday,ColumbusDay
1948-11-02,Tuesday,ElectionDay
1948-11-11,Thursday,VeteransDay
1948-11-25,Thursday,Thanks giving
1948-12-24,Friday,Christmas (observed)
1948-12-31,Friday,New Years Day (observed)
1949-02-11,Friday,LincolnsBirthday (observed)
1949-02-22,Tuesday,Washingtons Birthday
1949-04-15,Friday,Good Friday Day
1949-05-30,Monday,Memorial Day
1949-06-14,Tuesday,FlagDay
1949-07-04,Monday,IndependenceDay
1949-09-05,Monday,Labor Day
1949-10-12,Wednesday,ColumbusDay
1949-11-08,Tuesday,ElectionDay
1949-11-11,Friday,VeteransDay
1949-11-24,Thursday,Thanks giving
1949-12-26,Monday,Christmas (observed)
1950-01-02,Monday,New Years Day (observed)
